Unnamed: 0,firstname,count,taux_sm,taux_ab,taux_b,taux_tb,taux_fel,Traditionnel,Moderne,Inventé,Européen,Musulman,Africain,Asiatique
14797,LUIZA-NAÏS,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
14798,LUIZIAH,2,0.0,0.5,0.5,0.0,0.0,0,0,0,0,0,0,0
14799,LUKA,171,0.216374269005848,0.280701754385965,0.333333333333333,0.128654970760234,0.0409356725146199,0,0,0,1,0,0,0
14800,LUKAS,132,0.257575757575758,0.212121212121212,0.310606060606061,0.174242424242424,0.0454545454545455,0,0,0,1,0,0,0
14801,LUKASZ,1,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
14802,LUKE,21,0.142857142857143,0.238095238095238,0.380952380952381,0.19047619047619,0.0476190476190476,0,0,1,0,0,0,0
14803,LUKEN,2,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0
14804,LUKENE,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
14805,LUKENGU,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
14806,LUKIANN,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
14807,LULA,3,0.0,0.0,0.666666666666667,0.333333333333333,0.0,0,0,0,1,0,0,0
14808,LULLIN,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
